értékelt mondat,elsődleges szándék név,elsődleges szándék érték,paraméter név,paraméter érték,többi szándék
"1db kerti törpét kaptam a 3 db helyett és nem jó a mérete sem.
",complaint,100.00%,[],"['kerti', 'törpe', 'méret', '\n']","[{'name': 'information', 'percentage': '0.00%'}, {'name': 'order', 'percentage': '0.00%'}, {'name': 'order_modification', 'percentage': '0.00%'}]"
"1db kerti törpét kaptam a 3 db helyett, eltört szállításnál, de ki kellett fizetnem. Kérem vissza a pénzem.
",complaint,100.00%,"[('helyett', 'PRODUCT')]","['kerti', 'törpe', 'db', 'eltört', 'szállítás', 'pénz']","[{'name': 'information', 'percentage': '0.00%'}, {'name': 'order', 'percentage': '0.00%'}, {'name': 'order_modification', 'percentage': '0.00%'}]"
"Elmosódott felirattal kaptam meg a bögréket. Kérem vissza az árukat.
",order_modification,100.00%,"[('bögréket', 'PRODUCT')]","['elmosódott', 'felirat', 'bögrék', 'áru']","[{'name': 'information', 'percentage': '0.00%'}, {'name': 'order', 'percentage': '0.00%'}, {'name': 'complaint', 'percentage': '0.00%'}]"
"Hol lehet elérni titeket?
",complaint,99.54%,[],[],"[{'name': 'information', 'percentage': '0.46%'}, {'name': 'order', 'percentage': '0.00%'}, {'name': 'order_modification', 'percentage': '0.00%'}]"
"Van boltotok vagy irodátok?
",complaint,100.00%,[],"['boltot', 'irodáik', '\n']","[{'name': 'information', 'percentage': '0.00%'}, {'name': 'order', 'percentage': '0.00%'}, {'name': 'order_modification', 'percentage': '0.00%'}]"
"Régóta működik már a webshop?
",complaint,100.00%,[],['webshop'],"[{'name': 'information', 'percentage': '0.00%'}, {'name': 'order', 'percentage': '0.00%'}, {'name': 'order_modification', 'percentage': '0.00%'}]"
"Telefonon vagy személyesen is tudok beszélni veletek?
",information,99.99%,[],"['telefon', 'személyes']","[{'name': 'order', 'percentage': '0.01%'}, {'name': 'order_modification', 'percentage': '0.00%'}, {'name': 'complaint', 'percentage': '0.00%'}]"
"Mit lehet tudni a rosebear-ről ?
",order_modification,100.00%,"[('Mit', 'PRODUCTCOLOR')]",[],"[{'name': 'information', 'percentage': '0.00%'}, {'name': 'order', 'percentage': '0.00%'}, {'name': 'complaint', 'percentage': '0.00%'}]"
"Mit kell tudni a rosebear-ről ?
",order_modification,99.99%,[],[],"[{'name': 'information', 'percentage': '0.01%'}, {'name': 'order', 'percentage': '0.00%'}, {'name': 'complaint', 'percentage': '0.00%'}]"
"Ha írok nektek e-mailt milyen gyorsan válaszoltok?
",complaint,99.15%,"[('írok', 'PRODUCTCOLOR')]","['e-mail', 'gyors']","[{'name': 'information', 'percentage': '0.85%'}, {'name': 'order', 'percentage': '0.00%'}, {'name': 'order_modification', 'percentage': '0.00%'}]"
"Mi az a rosebear?
",complaint,99.57%,[],"['rosebear', '\n']","[{'name': 'information', 'percentage': '0.00%'}, {'name': 'order', 'percentage': '0.43%'}, {'name': 'order_modification', 'percentage': '0.00%'}]"
"Mire való ez a webáruház?
",complaint,100.00%,[],['webáruház'],"[{'name': 'information', 'percentage': '0.00%'}, {'name': 'order', 'percentage': '0.00%'}, {'name': 'order_modification', 'percentage': '0.00%'}]"
"Mitől jó a rosebearhungary?
",order_modification,100.00%,[],"['mi', 'rosebearhungary']","[{'name': 'information', 'percentage': '0.00%'}, {'name': 'order', 'percentage': '0.00%'}, {'name': 'complaint', 'percentage': '0.00%'}]"
"Mire jók ezek a rosebear izék
",complaint,56.82%,[],"['jó', 'rosebear', 'izék']","[{'name': 'information', 'percentage': '40.41%'}, {'name': 'order', 'percentage': '0.03%'}, {'name': 'order_modification', 'percentage': '2.73%'}]"
"Mióta van ez a márka?
",information,99.68%,[],['márka'],"[{'name': 'order', 'percentage': '0.09%'}, {'name': 'order_modification', 'percentage': '0.00%'}, {'name': 'complaint', 'percentage': '0.22%'}]"
"Kié ez a brand?
",complaint,100.00%,[],['brand'],"[{'name': 'information', 'percentage': '0.00%'}, {'name': 'order', 'percentage': '0.00%'}, {'name': 'order_modification', 'percentage': '0.00%'}]"
"Ki alapította a rosebeart?
",complaint,100.00%,[],"['rosebeart', '\n']","[{'name': 'information', 'percentage': '0.00%'}, {'name': 'order', 'percentage': '0.00%'}, {'name': 'order_modification', 'percentage': '0.00%'}]"
"Miért rendeljek a roszebearhungary-tól?
",order_modification,99.95%,[],[],"[{'name': 'information', 'percentage': '0.05%'}, {'name': 'order', 'percentage': '0.00%'}, {'name': 'complaint', 'percentage': '0.00%'}]"
"Tetszenek a termékek de nem tudom szabad-e innen rendelnem győzzenek meg !
",complaint,71.94%,"[('termékek', 'GENDERROLE')]","['termék', 'szabad']","[{'name': 'information', 'percentage': '28.04%'}, {'name': 'order', 'percentage': '0.02%'}, {'name': 'order_modification', 'percentage': '0.00%'}]"
"Kun Béla vagyok múlt héten rendeltem egy nagy virágboxot.
",complaint,100.00%,"[('vagyok', 'CUSTOMER'), ('nagy', 'PRODUCTSIZE'), ('virágboxot', 'PRODUCT')]","['béla', 'múlt', 'hét', 'virágboxot']","[{'name': 'information', 'percentage': '0.00%'}, {'name': 'order', 'percentage': '0.00%'}, {'name': 'order_modification', 'percentage': '0.00%'}]"
"Kék színben van ilyen?
",complaint,99.50%,"[('Kék', 'PRODUCTCOLOR')]","['kék', 'szín', '\n']","[{'name': 'information', 'percentage': '0.49%'}, {'name': 'order', 'percentage': '0.01%'}, {'name': 'order_modification', 'percentage': '0.00%'}]"
"Mennyi a kicsi rózsamaci kiszállítási ideje?
",order_modification,84.95%,"[('kicsi', 'PRODUCTSIZE'), ('rózsamaci', 'PRODUCT')]","['kicsi', 'rózsamaci', 'kiszállítási', 'idő', '\n']","[{'name': 'information', 'percentage': '0.00%'}, {'name': 'order', 'percentage': '0.00%'}, {'name': 'complaint', 'percentage': '15.05%'}]"
"Azt hallottam hogy létezik nálatok női férfi feliratos ágynemű szett
",complaint,98.45%,"[('ágynemű szett', 'PRODUCT')]","['nálat', 'női', 'férfi', 'feliratos', 'ágynemű']","[{'name': 'information', 'percentage': '1.55%'}, {'name': 'order', 'percentage': '0.01%'}, {'name': 'order_modification', 'percentage': '0.00%'}]"
"Van olyan, hogy örökrózsa?
",complaint,100.00%,"[('örökrózsa', 'PRODUCT')]",['örökrózsa'],"[{'name': 'information', 'percentage': '0.00%'}, {'name': 'order', 'percentage': '0.00%'}, {'name': 'order_modification', 'percentage': '0.00%'}]"
"A párom barátnője kapott egy rózsamacit.
",complaint,63.47%,"[('rózsamacit', 'PRODUCT')]","['pár', 'barátnő', 'rózsamacit']","[{'name': 'information', 'percentage': '11.23%'}, {'name': 'order', 'percentage': '25.29%'}, {'name': 'order_modification', 'percentage': '0.00%'}]"
"Mikor kaphatom meg az ajándékkosarat?
",order_modification,99.90%,"[('ajándékkosarat', 'PRODUCT')]",['ajándékkosar'],"[{'name': 'information', 'percentage': '0.10%'}, {'name': 'order', 'percentage': '0.00%'}, {'name': 'complaint', 'percentage': '0.00%'}]"
"Nagyon tetszik az arany kézszobor.
",order,68.88%,"[('arany', 'PRODUCTCOLOR'), ('kézszobor', 'PRODUCT')]","['arany', 'kézszobor']","[{'name': 'information', 'percentage': '25.68%'}, {'name': 'order_modification', 'percentage': '0.01%'}, {'name': 'complaint', 'percentage': '5.43%'}]"
"Megérkezik egy héten belül a rózsamaci ha ma megrendelem?
",information,100.00%,"[('rózsamaci', 'PRODUCT')]","['hét', 'rózsamaci']","[{'name': 'order', 'percentage': '0.00%'}, {'name': 'order_modification', 'percentage': '0.00%'}, {'name': 'complaint', 'percentage': '0.00%'}]"
"A barátom valahol látott kézszobrot.
",order,60.85%,"[('barátom', 'GENDERROLE'), ('kézszobrot', 'PRODUCT')]","['barát', 'kézszobor']","[{'name': 'information', 'percentage': '27.43%'}, {'name': 'order_modification', 'percentage': '0.03%'}, {'name': 'complaint', 'percentage': '11.69%'}]"
"Ki tudnak szállítani egy nagy rózsamacit 2 munkanapon belül?
",information,98.88%,"[('nagy', 'PRODUCTSIZE'), ('rózsamacit', 'PRODUCT')]","['rózsamacit', 'munkanap']","[{'name': 'order', 'percentage': '1.12%'}, {'name': 'order_modification', 'percentage': '0.00%'}, {'name': 'complaint', 'percentage': '0.00%'}]"
"Tudnak addigra küldeni egy arany virágboxot?
",information,99.11%,"[('arany', 'PRODUCTCOLOR'), ('virágboxot', 'PRODUCT')]","['arany', 'virágboox', '\n']","[{'name': 'order', 'percentage': '0.89%'}, {'name': 'order_modification', 'percentage': '0.00%'}, {'name': 'complaint', 'percentage': '0.00%'}]"
"Milyen árban vannak férfi ajándékok nálatok?
",information,98.95%,[],"['ár', 'férfi', 'ajándék', 'nálat']","[{'name': 'order', 'percentage': '1.05%'}, {'name': 'order_modification', 'percentage': '0.00%'}, {'name': 'complaint', 'percentage': '0.00%'}]"
"A weboldalatokon láttam egy órási rózsamacit.
",order,58.48%,"[('órási', 'PRODUCTSIZE'), ('rózsamacit', 'PRODUCT')]","['weboldalat', 'órási', 'rózsamaci']","[{'name': 'information', 'percentage': '27.52%'}, {'name': 'order_modification', 'percentage': '0.02%'}, {'name': 'complaint', 'percentage': '13.98%'}]"
"Érdeklődnék, hogy lehet-e kapni Önöknél születésnapi tortát?
",complaint,100.00%,[],"['ön', 'születésnapi', 'torta', '\n']","[{'name': 'information', 'percentage': '0.00%'}, {'name': 'order', 'percentage': '0.00%'}, {'name': 'order_modification', 'percentage': '0.00%'}]"
"Mennyi ideig tart a kiszállítás?
",information,100.00%,[],"['idő', 'kiszállítás']","[{'name': 'order', 'percentage': '0.00%'}, {'name': 'order_modification', 'percentage': '0.00%'}, {'name': 'complaint', 'percentage': '0.00%'}]"
"Drágábbak a termékek az interneten?
",complaint,99.92%,[],"['drága', 'termék', 'internet']","[{'name': 'information', 'percentage': '0.00%'}, {'name': 'order', 'percentage': '0.00%'}, {'name': 'order_modification', 'percentage': '0.08%'}]"
"Mi történik, ha az általunk kiválasztott termék nincs raktáron?
",information,99.98%,[],"['kiválasztott', 'termék', 'raktár', '\n']","[{'name': 'order', 'percentage': '0.02%'}, {'name': 'order_modification', 'percentage': '0.00%'}, {'name': 'complaint', 'percentage': '0.00%'}]"
"Mennyibe kerül ez az örökrózsa?
",information,99.99%,"[('örökrózsa', 'PRODUCT')]",['örökrózsa'],"[{'name': 'order', 'percentage': '0.01%'}, {'name': 'order_modification', 'percentage': '0.00%'}, {'name': 'complaint', 'percentage': '0.00%'}]"
"Van ebből a termékből raktáron?
",order_modification,100.00%,"[('termékből', 'GENDERROLE')]","['termék', 'raktár', '\n']","[{'name': 'information', 'percentage': '0.00%'}, {'name': 'order', 'percentage': '0.00%'}, {'name': 'complaint', 'percentage': '0.00%'}]"
"Kaphatok visszatérítést?
",complaint,99.98%,[],['visszatérítés'],"[{'name': 'information', 'percentage': '0.02%'}, {'name': 'order', 'percentage': '0.00%'}, {'name': 'order_modification', 'percentage': '0.00%'}]"
"Általában mennyi idő alatt kapom meg a rendelésem?
",information,99.92%,[],"['idő', 'rendelés']","[{'name': 'order', 'percentage': '0.03%'}, {'name': 'order_modification', 'percentage': '0.00%'}, {'name': 'complaint', 'percentage': '0.04%'}]"
"Milyen gyorsan kézbesítik a csomagot?
",information,99.99%,[],"['gyors', 'csomag']","[{'name': 'order', 'percentage': '0.01%'}, {'name': 'order_modification', 'percentage': '0.00%'}, {'name': 'complaint', 'percentage': '0.00%'}]"
"Mi a várható kiszállítási idő?
",complaint,100.00%,"[('várható', 'GENDERROLE')]","['várható', 'kiszállítási', 'idő', '\n']","[{'name': 'information', 'percentage': '0.00%'}, {'name': 'order', 'percentage': '0.00%'}, {'name': 'order_modification', 'percentage': '0.00%'}]"
"Nekem a rózsaszínt napelemes lampion tetszik. Kérhetném, hogy a szettben csak rózsaszín napelemes lampion legyen? Köszönöm!
",order_modification,100.00%,"[('rózsaszínt', 'GENDERROLE'), ('szettben', 'GENDERROLE')]","['rózsaszín', 'napelemes', 'lampion', 'szett', 'rózsaszín', 'napelemes', 'lampion']","[{'name': 'information', 'percentage': '0.00%'}, {'name': 'order', 'percentage': '0.00%'}, {'name': 'complaint', 'percentage': '0.00%'}]"
"Lehet szálanként is vásárolni vörös rózsát?
",information,100.00%,[],"['szálan', 'vörös', 'rózsa']","[{'name': 'order', 'percentage': '0.00%'}, {'name': 'order_modification', 'percentage': '0.00%'}, {'name': 'complaint', 'percentage': '0.00%'}]"
"A párom barátnője kapott egy rózsamacit és az enyém is szeretne kapni egyet.
",order,100.00%,"[('rózsamacit', 'PRODUCT')]","['pár', 'barátnő', 'rózsamacit', 'egy']","[{'name': 'information', 'percentage': '0.00%'}, {'name': 'order_modification', 'percentage': '0.00%'}, {'name': 'complaint', 'percentage': '0.00%'}]"
"A barátom valahol látott kézszobrot.
",order,60.85%,"[('barátom', 'GENDERROLE'), ('kézszobrot', 'PRODUCT')]","['barát', 'kézszobor']","[{'name': 'information', 'percentage': '27.43%'}, {'name': 'order_modification', 'percentage': '0.03%'}, {'name': 'complaint', 'percentage': '11.69%'}]"
"A barátnőm szeretne egy fekete rózsacsokrot díszdobozban.
",order,100.00%,"[('barátnőm', 'GENDERROLE'), ('fekete', 'PRODUCTCOLOR'), ('rózsacsokrot', 'PRODUCT')]","['barátnő', 'fekete', 'rózsacsokor', 'díszdoboz']","[{'name': 'information', 'percentage': '0.00%'}, {'name': 'order_modification', 'percentage': '0.00%'}, {'name': 'complaint', 'percentage': '0.00%'}]"
"Szeretném a feleségemnek meglepni egy romantikus kézszobrot.
",order,99.99%,"[('feleségemnek', 'GENDERROLE'), ('kézszobrot', 'PRODUCT')]","['feleség', 'romantikus', 'kézszobor']","[{'name': 'information', 'percentage': '0.01%'}, {'name': 'order_modification', 'percentage': '0.00%'}, {'name': 'complaint', 'percentage': '0.00%'}]"
"Milyen árban vannak férfi ajándékok nálatok?
",information,98.95%,[],"['ár', 'férfi', 'ajándék', 'nálat']","[{'name': 'order', 'percentage': '1.05%'}, {'name': 'order_modification', 'percentage': '0.00%'}, {'name': 'complaint', 'percentage': '0.00%'}]"
"Végül a barátnőm rajongása győzött meg arról.
",order,100.00%,"[('barátnőm', 'GENDERROLE')]","['barátnő', 'rajongás']","[{'name': 'information', 'percentage': '0.00%'}, {'name': 'order_modification', 'percentage': '0.00%'}, {'name': 'complaint', 'percentage': '0.00%'}]"
"Készíttetnék egy pólót a férjemnek
",complaint,99.90%,"[('férjemnek', 'GENDERROLE')]","['póló', 'férj', '\n']","[{'name': 'information', 'percentage': '0.00%'}, {'name': 'order', 'percentage': '0.10%'}, {'name': 'order_modification', 'percentage': '0.00%'}]"
"mert a feleségemnek is így készült a ruha.
",order,99.99%,"[('feleségemnek', 'GENDERROLE'), ('ruha', 'GENDERROLE')]","['feleség', 'ruha']","[{'name': 'information', 'percentage': '0.01%'}, {'name': 'order_modification', 'percentage': '0.00%'}, {'name': 'complaint', 'percentage': '0.00%'}]"
"A tizedik házassági évfordulóra tudtok Bali térképet csinálni a mi nevünkkel?
",order,100.00%,"[('házassági évfordulóra', 'OCCASION'), ('térképet', 'PRODUCT')]","['tizedik', 'házassági', 'évforduló', 'bali', 'térkép', 'név']","[{'name': 'information', 'percentage': '0.00%'}, {'name': 'order_modification', 'percentage': '0.00%'}, {'name': 'complaint', 'percentage': '0.00%'}]"
"Karácsonyra vennék valamit a barátomnak.
",order,99.99%,"[('Karácsonyra', 'OCCASION'), ('barátomnak', 'GENDERROLE')]","['karácsony', 'barát']","[{'name': 'information', 'percentage': '0.01%'}, {'name': 'order_modification', 'percentage': '0.00%'}, {'name': 'complaint', 'percentage': '0.00%'}]"
"A héten lesz a házassági évfordulónk.
",order,100.00%,"[('házassági évfordulónk', 'OCCASION')]","['hét', 'házassági', 'évforduló']","[{'name': 'information', 'percentage': '0.00%'}, {'name': 'order_modification', 'percentage': '0.00%'}, {'name': 'complaint', 'percentage': '0.00%'}]"
"Holnap lesz a házassági évfordulónk.
",order,100.00%,"[('házassági évfordulónk', 'OCCASION')]","['házassági', 'évforduló']","[{'name': 'information', 'percentage': '0.00%'}, {'name': 'order_modification', 'percentage': '0.00%'}, {'name': 'complaint', 'percentage': '0.00%'}]"
"Venni szeretnék valami szépet a barátnőm születésnapjára.
",order,67.26%,"[('barátnőm', 'GENDERROLE')]","['szép', 'barátnő', 'születésnap']","[{'name': 'information', 'percentage': '32.61%'}, {'name': 'order_modification', 'percentage': '0.00%'}, {'name': 'complaint', 'percentage': '0.12%'}]"
"Szülinapi ajándékot keresek a páromnak.
",order,100.00%,"[('páromnak', 'GENDERROLE')]","['szülinapi', 'ajándék', 'pár']","[{'name': 'information', 'percentage': '0.00%'}, {'name': 'order_modification', 'percentage': '0.00%'}, {'name': 'complaint', 'percentage': '0.00%'}]"
"Mostanában érkezett több megrendelés felnőttek gyermekkori rajzának elkészítésére, kerek számú szülinapokra, nászajándékba.
",order,100.00%,"[('számú', 'PRODUCT')]","['megrendelés', 'felnőtt', 'gyermekkori', 'rajza', 'elkészítés', 'kerek', 'számú', 'szülinap', 'nászajándék']","[{'name': 'information', 'percentage': '0.00%'}, {'name': 'order_modification', 'percentage': '0.00%'}, {'name': 'complaint', 'percentage': '0.00%'}]"
"Szeretném elkészíttetni babámnak első születésnapjára ezt a párnát.
",order,100.00%,"[('párnát', 'OCCASION')]","['baba', 'első', 'születésnap', 'párna']","[{'name': 'information', 'percentage': '0.00%'}, {'name': 'order_modification', 'percentage': '0.00%'}, {'name': 'complaint', 'percentage': '0.00%'}]"
"Fekete erdő tortát szeretnék rendelni nagyapám 73. szülinapjára.
",order,99.99%,"[('szülinapjára', 'OCCASION')]","['fekete', 'erdő', 'torta', 'nagyapa', '73.', 'szülinap']","[{'name': 'information', 'percentage': '0.01%'}, {'name': 'order_modification', 'percentage': '0.00%'}, {'name': 'complaint', 'percentage': '0.00%'}]"
"Tökéletes karácsonyi ajándék lehet.
",order,100.00%,[],"['tökéletes', 'karácsonyi', 'ajándék', '\n']","[{'name': 'information', 'percentage': '0.00%'}, {'name': 'order_modification', 'percentage': '0.00%'}, {'name': 'complaint', 'percentage': '0.00%'}]"
"Ki tudnak szállítani egy nagy rózsamacit 2 munkanapon belül?
",information,98.88%,"[('nagy', 'PRODUCTSIZE'), ('rózsamacit', 'PRODUCT')]","['rózsamacit', 'munkanap']","[{'name': 'order', 'percentage': '1.12%'}, {'name': 'order_modification', 'percentage': '0.00%'}, {'name': 'complaint', 'percentage': '0.00%'}]"
"Tudnak addigra küldeni egy arany virágboxot?
",information,99.11%,"[('arany', 'PRODUCTCOLOR'), ('virágboxot', 'PRODUCT')]","['arany', 'virágboox', '\n']","[{'name': 'order', 'percentage': '0.89%'}, {'name': 'order_modification', 'percentage': '0.00%'}, {'name': 'complaint', 'percentage': '0.00%'}]"
"Tudnak küldeni egy virágcsokrot?
",order_modification,100.00%,[],"['virágcsokor', '\n']","[{'name': 'information', 'percentage': '0.00%'}, {'name': 'order', 'percentage': '0.00%'}, {'name': 'complaint', 'percentage': '0.00%'}]"
"Nagyon tetszik neki ő is szeretne egy nagy arany színűt.
",order,100.00%,"[('nagy', 'PRODUCTSIZE'), ('arany', 'PRODUCTCOLOR')]","['arany', 'színűt']","[{'name': 'information', 'percentage': '0.00%'}, {'name': 'order_modification', 'percentage': '0.00%'}, {'name': 'complaint', 'percentage': '0.00%'}]"
"Nagyon tetszik az arany kézszobor.
",order,68.88%,"[('arany', 'PRODUCTCOLOR'), ('kézszobor', 'PRODUCT')]","['arany', 'kézszobor']","[{'name': 'information', 'percentage': '25.68%'}, {'name': 'order_modification', 'percentage': '0.01%'}, {'name': 'complaint', 'percentage': '5.43%'}]"
